nemonico,valores
Ocupacion,8159
Ocupacion,816
Ocupacion,8160
Ocupacion,817
Ocupacion,8171
Ocupacion,8172
Ocupacion,818
Ocupacion,8181
Ocupacion,8182
Ocupacion,8183
Ocupacion,8189
Ocupacion,82
Ocupacion,821
Ocupacion,8211
Ocupacion,8212
Ocupacion,8219
Ocupacion,83
Ocupacion,831
Ocupacion,8311
Ocupacion,8312
Ocupacion,832
Ocupacion,8321
Ocupacion,8322
Ocupacion,8323
Ocupacion,8324
Ocupacion,833
Ocupacion,8331
Ocupacion,8332
Ocupacion,834
Ocupacion,8341
Ocupacion,8342
Ocupacion,8343
Ocupacion,8344
Ocupacion,835
Ocupacion,8350
Ocupacion,9
Ocupacion,91
Ocupacion,911
Ocupacion,9111
Ocupacion,9112
Ocupacion,912
Ocupacion,9121
Ocupacion,9122
Ocupacion,9123
Ocupacion,9129
Ocupacion,92
Ocupacion,921
Ocupacion,9211
Ocupacion,9212
Ocupacion,9213
Ocupacion,9214
Ocupacion,9215
Ocupacion,9216
Ocupacion,93
Ocupacion,931
Ocupacion,9311
Ocupacion,9312
Ocupacion,9313
Ocupacion,932
Ocupacion,9321
Ocupacion,9329
Ocupacion,933
Ocupacion,9331
Ocupacion,9332
Ocupacion,9333
Ocupacion,9334
Ocupacion,94
Ocupacion,941
Ocupacion,9411
Ocupacion,9412
Ocupacion,95
Ocupacion,951
Ocupacion,9510
Ocupacion,952
Ocupacion,9520
Ocupacion,96
Ocupacion,961
Ocupacion,9611
Ocupacion,9612
Ocupacion,9613
Ocupacion,962
Ocupacion,9621
Ocupacion,9622
Ocupacion,9623
Ocupacion,9624
Ocupacion,9629
Ocupacion,9996
Ocupacion,9997
Ocupacion,9998
Ocupacion,9999
Regimen,C
Regimen,E
Regimen,N
Regimen,P
Regimen,S
idPertenenciaEtnica,1
idPertenenciaEtnica,2
idPertenenciaEtnica,3
idPertenenciaEtnica,4
idPertenenciaEtnica,5
idPertenenciaEtnica,6
idGrupoPoblacional,1
idGrupoPoblacional,2
idGrupoPoblacional,3
idGrupoPoblacional,4
idGrupoPoblacional,5
idGrupoPoblacional,6
idGrupoPoblacional,7
idGrupoPoblacional,8
idGrupoPoblacional,9
idGrupoPoblacional,10
idGrupoPoblacional,11
idGrupoPoblacional,12
idGrupoPoblacional,13
idGrupoPoblacional,14
idGrupoPoblacional,15
idGrupoPoblacional,16
idGrupoPoblacional,31
idGrupoPoblacional,32
idGrupoPoblacional,33
idGrupoPoblacional,34
idGrupoPoblacional,35
idGrupoPoblacional,36
idGrupoPoblacional,37
idGrupoPoblacional,38
idGrupoPoblacional,39
idGrupoPoblacional,50
idGrupoPoblacional,51
idGrupoPoblacional,52
idGrupoPoblacional,53
idGrupoPoblacional,54
idGrupoPoblacional,55
idGrupoPoblacional,56
idGrupoPoblacional,57
idGrupoPoblacional,58
idGrupoPoblacional,59
idGrupoPoblacional,60
idGrupoPoblacional,61
idGrupoPoblacional,63
MunicipioDeResidencia,05001
MunicipioDeResidencia,05002
MunicipioDeResidencia,05004
MunicipioDeResidencia,05021
MunicipioDeResidencia,05030
MunicipioDeResidencia,05031
MunicipioDeResidencia,05034
MunicipioDeResidencia,05036
MunicipioDeResidencia,05038
MunicipioDeResidencia,05040
MunicipioDeResidencia,05042
MunicipioDeResidencia,05044
MunicipioDeResidencia,05045
MunicipioDeResidencia,05051
MunicipioDeResidencia,05055
MunicipioDeResidencia,05059
MunicipioDeResidencia,05079
MunicipioDeResidencia,05086
MunicipioDeResidencia,05088
MunicipioDeResidencia,05091
MunicipioDeResidencia,05093
MunicipioDeResidencia,05101
MunicipioDeResidencia,05107
MunicipioDeResidencia,05113
MunicipioDeResidencia,05120
MunicipioDeResidencia,05125
MunicipioDeResidencia,05129
MunicipioDeResidencia,05134
MunicipioDeResidencia,05138
MunicipioDeResidencia,05142
MunicipioDeResidencia,05145
MunicipioDeResidencia,05147
MunicipioDeResidencia,05148
MunicipioDeResidencia,05150
MunicipioDeResidencia,05154
MunicipioDeResidencia,05172
MunicipioDeResidencia,05190
MunicipioDeResidencia,05197
MunicipioDeResidencia,05206
MunicipioDeResidencia,05209
MunicipioDeResidencia,05212
MunicipioDeResidencia,05234
MunicipioDeResidencia,05237
MunicipioDeResidencia,05240
MunicipioDeResidencia,05250
MunicipioDeResidencia,05264
MunicipioDeResidencia,05266
MunicipioDeResidencia,05282
MunicipioDeResidencia,05284
MunicipioDeResidencia,05306
MunicipioDeResidencia,05308
MunicipioDeResidencia,05310
MunicipioDeResidencia,05313
MunicipioDeResidencia,05315
MunicipioDeResidencia,05318
MunicipioDeResidencia,05321
MunicipioDeResidencia,05347
MunicipioDeResidencia,05353
MunicipioDeResidencia,05360
MunicipioDeResidencia,05361
MunicipioDeResidencia,05364
MunicipioDeResidencia,05368
MunicipioDeResidencia,05376
MunicipioDeResidencia,05380
MunicipioDeResidencia,05390
MunicipioDeResidencia,05400
MunicipioDeResidencia,05411
MunicipioDeResidencia,05425
MunicipioDeResidencia,05440
MunicipioDeResidencia,05467
MunicipioDeResidencia,05475
MunicipioDeResidencia,05480
MunicipioDeResidencia,05483
MunicipioDeResidencia,05490
MunicipioDeResidencia,05495
MunicipioDeResidencia,05501
MunicipioDeResidencia,05541
MunicipioDeResidencia,05543
MunicipioDeResidencia,05576
MunicipioDeResidencia,05579
MunicipioDeResidencia,05585
MunicipioDeResidencia,05591
MunicipioDeResidencia,05604
MunicipioDeResidencia,05607
MunicipioDeResidencia,05615
MunicipioDeResidencia,05628
MunicipioDeResidencia,05631
MunicipioDeResidencia,05642
MunicipioDeResidencia,05647
MunicipioDeResidencia,05649
MunicipioDeResidencia,05652
MunicipioDeResidencia,05656
MunicipioDeResidencia,05658
MunicipioDeResidencia,05659
MunicipioDeResidencia,05660
MunicipioDeResidencia,05664
MunicipioDeResidencia,05665
MunicipioDeResidencia,05667
MunicipioDeResidencia,05670
MunicipioDeResidencia,05674
MunicipioDeResidencia,05679
MunicipioDeResidencia,05686
MunicipioDeResidencia,05690
MunicipioDeResidencia,05697
MunicipioDeResidencia,05736
MunicipioDeResidencia,05756
MunicipioDeResidencia,05761
MunicipioDeResidencia,05789
MunicipioDeResidencia,05790
MunicipioDeResidencia,05792
MunicipioDeResidencia,05809
MunicipioDeResidencia,05819
MunicipioDeResidencia,05837
MunicipioDeResidencia,05842
MunicipioDeResidencia,05847
MunicipioDeResidencia,05854
MunicipioDeResidencia,05856
MunicipioDeResidencia,05858
MunicipioDeResidencia,05861
MunicipioDeResidencia,05873
MunicipioDeResidencia,05885
MunicipioDeResidencia,05887
MunicipioDeResidencia,05890
MunicipioDeResidencia,05893
MunicipioDeResidencia,05895
MunicipioDeResidencia,08001
MunicipioDeResidencia,08078
MunicipioDeResidencia,08137
MunicipioDeResidencia,08141
MunicipioDeResidencia,08296
MunicipioDeResidencia,08372
MunicipioDeResidencia,08421
MunicipioDeResidencia,08433
MunicipioDeResidencia,08436
MunicipioDeResidencia,08520
MunicipioDeResidencia,08549
MunicipioDeResidencia,08558
MunicipioDeResidencia,08560
MunicipioDeResidencia,08573
MunicipioDeResidencia,08606
MunicipioDeResidencia,08634
MunicipioDeResidencia,08638
MunicipioDeResidencia,08675
MunicipioDeResidencia,08685
MunicipioDeResidencia,08758
MunicipioDeResidencia,08770
MunicipioDeResidencia,08832
MunicipioDeResidencia,08849
MunicipioDeResidencia,11001
MunicipioDeResidencia,13001
MunicipioDeResidencia,13006
MunicipioDeResidencia,13030
MunicipioDeResidencia,13042
MunicipioDeResidencia,13052
MunicipioDeResidencia,13062
MunicipioDeResidencia,13074
MunicipioDeResidencia,13140
MunicipioDeResidencia,13160
MunicipioDeResidencia,13188
MunicipioDeResidencia,13212
MunicipioDeResidencia,13222
MunicipioDeResidencia,13244
MunicipioDeResidencia,13248
MunicipioDeResidencia,13268
MunicipioDeResidencia,13300
MunicipioDeResidencia,13430
MunicipioDeResidencia,13433
MunicipioDeResidencia,13440
MunicipioDeResidencia,13442
MunicipioDeResidencia,13458
MunicipioDeResidencia,13468
MunicipioDeResidencia,13473
MunicipioDeResidencia,13490
MunicipioDeResidencia,13549
MunicipioDeResidencia,13580
MunicipioDeResidencia,13600
MunicipioDeResidencia,13620
MunicipioDeResidencia,13647
MunicipioDeResidencia,13650
MunicipioDeResidencia,13654
MunicipioDeResidencia,13655
MunicipioDeResidencia,13657
MunicipioDeResidencia,13667
MunicipioDeResidencia,13670
MunicipioDeResidencia,13673
MunicipioDeResidencia,13683
MunicipioDeResidencia,13688
MunicipioDeResidencia,13744
MunicipioDeResidencia,13760
MunicipioDeResidencia,13780
MunicipioDeResidencia,13810
MunicipioDeResidencia,13836
MunicipioDeResidencia,13838
MunicipioDeResidencia,13873
MunicipioDeResidencia,13894
MunicipioDeResidencia,15001
MunicipioDeResidencia,15022
MunicipioDeResidencia,15047
MunicipioDeResidencia,15051
MunicipioDeResidencia,15087
MunicipioDeResidencia,15090
MunicipioDeResidencia,15092
MunicipioDeResidencia,15097
MunicipioDeResidencia,15104
MunicipioDeResidencia,15106
MunicipioDeResidencia,15109
MunicipioDeResidencia,15114
MunicipioDeResidencia,15131
MunicipioDeResidencia,15135
MunicipioDeResidencia,15162
MunicipioDeResidencia,15172
MunicipioDeResidencia,15176
MunicipioDeResidencia,15180
MunicipioDeResidencia,15183
MunicipioDeResidencia,15185
MunicipioDeResidencia,15187
MunicipioDeResidencia,15189
MunicipioDeResidencia,15204
